"ID","FIPS","label","address","State","zip","cat1","cat2","cat3","url","notes","formatted_address","lng","lat"
"1","","Touchstone Energy","Touchstone Energy, VA","VA","22203","Second Tier","CBN","Support","https://www.touchstoneenergy.com/","","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"2","18","Indiana Electric Cooperatives","Indiana Electric Cooperatives, IN","IN","46240","Fourth Tier","Association","State","https://www.indianaec.org/","","8888 Keystone Crossing #1600, Indianapolis, IN 46240, USA",-86.10885619999999,39.9166991
"3","18","Steuben County REMC","Steuben County REMC, IN","IN","46703","First Tier","Distribution","Distribution","https://www.remcsteuben.com/","","1212 S Wayne St, Angola, IN 46703, USA",-85.00076800000001,41.622176
"4","18","Lagrange County REMC","Lagrange County REMC, IN","IN","46761","First Tier","Distribution","Distribution","https://www.lagrangeremc.com/","","1995 Hwy 20, LaGrange, IN 46761, USA",-85.3884345,41.6426089
"5","18","Noble REMC","Noble REMC, IN","IN","46701","First Tier","Distribution","Distribution","https://www.nobleremc.com/","","300 Weber Rd, Albion, IN 46701, USA",-85.420704,41.389335
"6","","Paulding Putnam Electric Cooperative, Inc.","Paulding Putnam Electric Cooperative, Inc., OH","OH","45879","First Tier","Distribution","Distribution","https://ppec.coop/","","401 McDonald Pike, Paulding, OH 45879, USA",-84.59271799999999,41.132618
"7","18","Northeastern REMC","Northeastern REMC, IN","IN","46725","First Tier","Distribution","Distribution","http://www.nremc.com/","","4901 E Park 30, Columbia City, IN 46725, USA",-85.39841799999999,41.135073
"8","18","Jay County REMC","Jay County REMC, IN","IN","47371","First Tier","Distribution","Distribution","https://www.jayremc.com/","","484 S 200 W, Portland, IN 47371, USA",-85.01971910000002,40.4317726
"9","18","Heartland REMC","Heartland REMC, IN","IN","46770","First Tier","Distribution","Distribution","https://www.heartlandremc.com/","","4563 E Markle Rd, Markle, IN 46770, USA",-85.363576,40.82802
"10","18","Kosciusko REMC","Kosciusko REMC, IN","IN","46582","First Tier","Distribution","Distribution","http://kremc.com/","","370 S 250 E, Warsaw, IN 46582, USA",-85.7922188,41.22911089999999
"11","18","Marshall County REMC","Marshall County REMC, IN","IN","46563","First Tier","Distribution","Distribution","http://www.marshallremc.com/","","11299 12th Rd, Plymouth, IN 46563, USA",-86.2762218,41.3029562
"12","18","Fulton County REMC","Fulton County REMC, IN","IN","46975","First Tier","Distribution","Distribution","http://www.fultoncountyremc.coop/","","1448 W State Rd 14, Rochester, IN 46975, United States",-86.26993999999999,41.054855
"13","18","Miami-Cass REMC","Miami-Cass REMC, IN","IN","46970","First Tier","Distribution","Distribution","http://www.mcremc.coop/","","3086 W 100 N, Peru, IN 46970, USA",-86.13022680000002,40.7793046
"14","18","Carroll White REMC","Carroll White REMC, IN","IN","47960","First Tier","Distribution","Distribution","https://www.cwremc.com/","","302 N 6th St, Monticello, IN 47960, USA",-86.775261,40.74738199999999
"15","18","Kankakee Valley REMC","Kankakee Valley REMC, IN","IN","46390","First Tier","Distribution","Distribution","https://www.kvremc.com/","","8642 US-30, Wanatah, IN 46390, USA",-86.8647589,41.4338524
"16","18","Jasper County REMC","Jasper County REMC, IN","IN","47978","First Tier","Distribution","Distribution","http://www.jasperremc.com/","","280 E Wood Rd, Rensselaer, IN 47978, USA",-87.15537739999999,40.9563623
"17","18","Newton County REMC","Newton County REMC, IN","IN","47948","First Tier","Distribution","Distribution","http://www.newtoncountyremc.com/","","4151 US-24, Goodland, IN 47948, USA",-87.312553,40.765185
"18","18","Warren County REMC","Warren County REMC, IN","IN","47993","First Tier","Distribution","Distribution","https://www.wcremc.com/","","15 Midway St, Williamsport, IN 47993, USA",-87.29522709999999,40.2868523
"19","18","Tipmont REMC","Tipmont REMC, IN","IN","47955","First Tier","Distribution","Distribution","https://www.tipmont.org/","","403 S Main St, Linden, IN 47955, USA",-86.9032143,40.1842633
"20","18","Boone REMC","Boone REMC, IN","IN","46052","First Tier","Distribution","Distribution","https://www.bremc.com/","","1207 Indianapolis Ave, Lebanon, IN 46052, USA",-86.45450389999999,40.03713339999999
"21","18","Hendricks Power Cooperative","Hendricks Power Cooperative, IN","IN","46123","First Tier","Distribution","Distribution","https://www.hendrickspower.com/","","86 North CR-500 East, Avon, IN 46123, USA",-86.43948999999999,39.76362
"22","18","Johnson County REMC","Johnson County REMC, IN","IN","46131","First Tier","Distribution","Distribution","http://jcremc.com/","","750 International Dr, Franklin, IN 46131, USA",-86.0691575,39.5179685
"23","18","South Central Indiana REMC","South Central Indiana REMC, IN","IN","46151","First Tier","Distribution","Distribution","https://www.sciremc.com/","","300 Morton Ave, Martinsville, IN 46151, USA",-86.43238649999999,39.4172926
"24","18","NineStar Connect","NineStar Connect, IN","IN","46140","First Tier","Distribution","Distribution","https://www.ninestarconnect.com/","","2243 E Main St, Greenfield, IN 46140, USA",-85.7319697,39.78583829999999
"25","18","Parke County REMC","Parke County REMC, IN","IN","47872","First Tier","Distribution","Distribution","https://pcremc.com/content/parke-county-remc-news","","119 W High St, Rockville, IN 47872, USA",-87.2286139,39.7612049
"26","18","Utilities District of Western Indiana REMC","Utilities District of Western Indiana REMC, IN","IN","47424","First Tier","Distribution","Distribution","https://www.udwiremc.com/","","1666 W State Rd 54, Bloomfield, IN 47424, USA",-86.9721069,39.0289835
"27","18","WIN Energy REMC","WIN Energy REMC, IN","IN","47591","First Tier","Distribution","Distribution","http://www.winenergyremc.com/","","3981 US-41, Vincennes, IN 47591, USA",-87.53704549999999,38.6181949
"28","18","Daviess-Martin County REMC","Daviess-Martin County REMC, IN","IN","47553","First Tier","Distribution","Distribution","http://www.dmremc.com/","","12628 E 75 N, Loogootee, IN 47553, USA",-86.92877399999999,38.669204
"29","18","Dubois REC, Inc.","Dubois REC, Inc., IN","IN","47546","First Tier","Distribution","Distribution","http://www.duboisrec.com/","","1400 Energy Drive, Jasper, IN 47546, USA",-86.9057047,38.3632021
"30","18","Southern Indiana Power","Southern Indiana Power, IN","IN","47586","First Tier","Distribution","Distribution","http://www.sinpwr.com/","","1776 10th St, Tell City, IN 47586, USA",-86.7661473,37.9665956
"31","18","Orange County REMC","Orange County REMC, IN","IN","47452","First Tier","Distribution","Distribution","http://myremc.coop/","","7133 IN-337, Orleans, IN 47452, USA",-86.43789,38.659949
"32","18","Jackson County REMC","Jackson County REMC, IN","IN","47220","First Tier","Distribution","Distribution","https://www.jacksonremc.com/","","274 E Base Rd, Brownstown, IN 47220, USA",-86.0326094,38.8815365
"33","18","Harrison REMC","Harrison REMC, IN","IN","47112","First Tier","Distribution","Distribution","http://www.harrisonremc.com/","","1165 Old Forest Rd NW, Corydon, IN 47112, USA",-86.1480832,38.2184912
"34","18","Clark County REMC","Clark County REMC, IN","IN","47172","First Tier","Distribution","Distribution","https://www.theremc.com/","","1859, 7810 IN-60, Sellersburg, IN 47172, United States",-85.7652339,38.3751418
"35","18","Southeastern Indiana REMC","Southeastern Indiana REMC, IN","IN","47037","First Tier","Distribution","Distribution","https://www.seiremc.com/","","712 S Buckeye St, Osgood, IN 47037, USA",-85.2885117,39.123268
"36","18","Bartholomew County REMC","Bartholomew County REMC, IN","IN","47201","First Tier","Distribution","Distribution","https://www.bcremc.com/","","1697 W Deaver Rd, Columbus, IN 47201, USA",-85.94215299999999,39.1481478
"37","18","Decatur County REMC","Decatur County REMC, IN","IN","47240","First Tier","Distribution","Distribution","http://www.dcremc.com/","","1430 W Main St, Greensburg, IN 47240, USA",-85.5065032,39.3369001
"38","18","RushShelby Energy","RushShelby Energy, IN","IN","46150","First Tier","Distribution","Distribution","http://rse.coop/","","2777 S 840 W, Manilla, IN 46150, USA",-85.60405159999999,39.5720477
"39","18","Henry County REMC","Henry County REMC, IN","IN","47362","First Tier","Distribution","Distribution","http://www.hcremc.com/","","3400 S State Road 3, New Castle, IN 47362, United States",-85.3838707,39.88297
"40","18","Whitewater Valley REMC","Whitewater Valley REMC, IN","IN","47353","First Tier","Distribution","Distribution","https://www.wwvremc.com/","","101 Brownsville Ave, Liberty, IN 47353, USA",-84.9312422,39.63751860000001
"41","","Touchstone Energy's Co-op Connections","Touchstone Energy's Co-op Connections, VA","VA","22203","No Tier","Program","Discount Club","https://www.connections.coop/323-landing.aspx","","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"42","","Washington Youth Tour and Cooperative Youth Summit","Washington Youth Tour and Cooperative Youth Summit, VA","VA","22202","No Tier","Program","Education","https://www.electric.coop/our-organization/youth-Program/about-the-youth-tour/","","Washington, DC, USA",-77.0368707,38.9071923
"43","","Touchstone Energy Camp","Touchstone Energy Camp, IN","IN","47923","No Tier","Program","Youth Development","https://www.indianaec.org/Program/youth/touchstone-energy-camp/","","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"44","","Powershift","Powershift, IN","IN","46214","No Tier","Program","Energy Savings","https://www.powermoves.com/","",,,
"45","","Co-op Solar","Co-op Solar, IN","IN","46214","No Tier","Program","Solar","https://www.powermoves.com/co-op-solar/solar-dashboard/","","296 Nonotuck St Suite #4, Northampton, MA 01062, USA",-72.67639299999999,42.33011399999999
"46","","Operation Round-up","Operation Round-up, IN","IN","","No Tier","Program","Community","","","242 24th Ave NW, Norman, OK 73069, USA",-97.47743009999999,35.2215373
"47","","Steuben County Industrial Guild","Steuben County Industrial Guild, IN","IN","46703","No Tier","Other","Development","https://steubenedc.com/Program-and-services/organizations-we-support/industrial-guild","","Steuben County, IN, USA",-84.981754,41.6115471
"48","","Steuben County Economic Development Corporation","Steuben County Economic Development Corporation, IN","IN","46703","No Tier","Other","Development","https://steubenedc.com/","","907 S Wayne St Suite 100, Angola, IN 46703, USA",-84.99860199999999,41.627125
"49","","Steuben County Tourism Bureau","Steuben County Tourism Bureau, IN","IN","46703","No Tier","Other","Development","https://visitsteubencounty.com/","","430 N Wayne St Suite 1B, Angola, IN 46703, USA",-84.998891,41.638883
